+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1008]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[993]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[997]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[980]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[995]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1003]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[998]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1006]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[999]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[973]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1002]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[975]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[978]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1000]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[997]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[996]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1004]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[989]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[993]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[976]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[991]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[999]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[994]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1002]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[995]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[969]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[998]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[971]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[974]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[996]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[993]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1000]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[992]/D|
