+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1008]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1006]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1003]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1004]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1002]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1001]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[1000]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1000]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1021]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1023]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1024]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1017]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1019]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1022]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1020]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1021]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1023]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1024]/D|
